sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
155,XJD,İZZETTİN DENKTAŞ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
156,XMN,KAAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,IĞDIR,MERKEZ
157,XMF,KADİM LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
158,XPM,KADİM SUR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,EĞİL
159,XFY,KAHVECİ AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SAN. VE TİC. A.Ş.,KONYA,MERKEZ
160,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,ACIKUYU
161,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,TEKİRDAĞ,ERGENE
162,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ÇANAKKALE,GELİBOLU
163,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,SİVAS,KANGAL
164,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KARAMAN,MERKEZ
165,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRKLARELİ,MERKEZ
166,KTU,KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,MERKEZ
167,KAN,KAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ANKARA,ŞKOÇHİSAR
168,XLS,KARABULUT HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,KARAKÖPRÜ
169,XJK,KARAKAYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SAMSUN,MERKEZ
170,XJC,KARAMAN TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KARAMAN,MERKEZ
171,XMZ,KAYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MERSİN,TARSUS
172,XLG,KAYNAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,PAZARCIK
173,KAY,KAYSERİ ŞEKER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,BOĞAZLIYAN
174,XBD,KAYSERİ ŞEKER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,SİVAS,ŞARKIŞLA
175,XBH,KAYSERİ ŞEKER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAYSERİ,DEVELİ
176,XRL,KEÇEBEYLİ GRUP TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK ANONİM ŞİRKETİ,ANKARA,SİNCAN
177,XMY,KENAN ECER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,EMİRGAZİ
178,XRD,KEPENÇ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
