lidas,il,ilce,toplam_hacim_tl,toplam_miktar_ton,islem_sayisi,urun_cesidi
"KÖSEOĞLU AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,YÜREĞİR,32935829,2403.7,13,4
"GRAİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",HATAY,KIRIKHAN,32934289,2691.7,5,3
"AVS AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,ÇUMRA,30069220,2297.0,13,1
"TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,ÇUMRA,29481304,2358.5,13,2
"SARILAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,KİSALI,29160309,2325.2,7,3
"ÇELİKOĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",DİYARBAKIR,EĞİL,28983640,2453.5,12,2
"TRAKYA EVREN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ,SPAŞA,25945246,1667.2,27,2
"ÖZEKİZLER AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,SARIÇAM,25033782,2010.5,4,2
"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KARATAY,23403916,1697.5,25,6
"ATABEY LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",DİYARBAKIR,ÇINAR,22679281,1922.0,1,1
"BİZİM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN,MERKEZ,22275943,1616.8,19,4
"UNSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",MARDİN,ARTUKLU,20907618,1771.8,3,1
"AKCAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MARDİN,KTEPE,20457236,1676.2,5,1
"GÖZÜKARA AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,YÜREĞİR,19135648,1526.2,2,2
"SÖNMEZLERAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,YÜREĞİR,18976587,1519.6,4,1
"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KHANI,18430748,1479.5,12,5
"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KARATAY,17352011,1215.7,19,6
"ÇUKUROVATOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,KARATAŞ,16273552,1298.8,6,1
"DOĞAL TAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA,EYYÜBİYE,15195654,1147.1,5,2
"İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KPINAR,15122240,1028.8,21,5
"REKOLTE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,YUNAK,13064769,1068.1,7,3
"HİKMET ŞEFLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,SARAYÖNÜ,12874479,1043.6,5,2
