urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"MISIR 1.SINIF","AĞALAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,12200,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,54,164,163,327,1943,1617
"MISIR 1.SINIF","TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,55,164,166,330,1943,1614
"MISIR 1.SINIF","YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,55,164,166,330,1943,1614
"MISIR 1.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,55,164,166,330,1943,1614
"MISIR 2.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12230,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13991,0,164,0,164,1761,1597
"MISIR 2.SINIF","TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,12313,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,85,164,258,422,2006,1584
"MISIR 2.SINIF","AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,12200,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,14391,147,164,445,609,2191,1582
"MISIR 2.SINIF","TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,12313,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,14055,0,164,0,164,1741,1578
"MISIR 2.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12230,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,14391,147,164,445,609,2161,1552
"MISIR 2.SINIF","KENAN ECER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/EMİRGAZİ,12249,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,119,164,361,525,2070,1546
